Warta,Oborniki,177
Rega,Trzebiatów,147
Odra,Malczyce,284
Wisłok,Żarnowa,133
Wisłoka,Mielec 2,172
Wisła,Toruń,116
Wieprz,Kośmin,172
Ślęza,Ślęza,280
Osobłoga,Racławice Śląskie,211
Tanew,Osuchy,159
Pasłęka,Łozy,211
Wisła,Zabrzeg,219
Wołosaty,Stuposiany,160
Białka,Łysa Polana,181
Pasłęka,Tomaryny,181
Huczwa,Gozdów,167
San,Przemyśl,79
Utrata,Krubice,197
Radunia,Goręczyno,194
Narew,Strękowa Góra,131
Wisła,Dęblin,111
Narew,Zambski Kościelne,140
Ropa,Ropa,172
Orzyc,Maków Mazowiecki,138
Guber,Prosna,136
Biebrza,Burzyn,199
Wisła,Karsy,97
Drwęca,Rodzone,192
Sąsiecznica,Kanclerzowice,197
Iłżanka,Kazanów,162
Wisła,Popędzynka,285
Parsęta,Tychówko,138
Kiełbaska,Kościelec,162
Warta,Poznań Most Rocha,146
Biała Nida,Mniszek,168
Witka,Ręczyn,162
Pilica,Sulejów,121
Wisła,Gromiec,186
Powa,Posoka,159
Skawinka,Radziszów,169
Koprzywianka,Koprzywnica,158
Warta,Wronki,134
Odra,Nietków,153
Czarna,Staszów,160
Dunajec,Nowy Targ - Kowaniec,192
Wisła,Włocławek,99
Pszczynka,Borki Mizerów,266
Gwda,Piła,351
Jeziorka,Piaseczno,159
Dunajec,Gołkowice,152
San,Olchowce,133
Ochotnica,Tylmanowa,126
Pilica,Wąsosz,190
Szprotawa,Szprotawa 2,120
Ruda,Ruda Kozielska,232
Czarny Dunajec,Koniówka,159
Brennica,Górki Wielkie,168
Widawka,Rogóźno,148
Bystrzyca,Mietków,154
Przemsza,Piwoń,170
Narew,Suraż,149
Nysa Kłodzka,Nysa,152
Rozoga,Walery,130
Supraśl,Fasty,132
Jez. Ełckie,Ełk 2,160
Drwęca,Nowe Miasto Lubawskie,196
Jasiołka,Zboiska,137
Dunajec,Zgłobice,129
Drwęca Warmińska,Krosno,272
Supraśl,Supraśl,124
Radunia,Pruszcz Gdański,172
Warta,Ląd,282
Stobrawa,Karłowice (Wapienniki),297
Stryszawka,Sucha Beskidzka,156
San,Zatwarnica,113
Cicha Woda,Zakopane Harenda,149
Jez. Mamry,Przystań,137
Skawa,Jordanów,180
Nysa Łużycka,Zgorzelec,160
Wisłoka,Pustków,96
Odra,Biała Góra,214
Warta,Osjaków,136
Łeba,Miłoszewo,150
Odra,Słubice,80
Wda,Krąplewice,94
Oława,Zborowice,277
Barycz,Osetno,122
Piława,Dzierżoniów,212
Ełk,Prostki,146
Wisła,Skoczów,163
Wisła,Kraków - Bielany,169
Liwiec,Zaliwie-Piegawki,172
Wałsza,Bornity,253
Mleczka Zachodnia,Gorliczyna,114
Wisła,Koło,197
Bug,Krzyczew,128
Pokrzywianka,Włochy,142
Wisła,Puławy,88
Obra,Bledzew,102
San,Dynów,94
Odra,Cigacice,177
Przemsza,Jeleń,148
Swędrnia,Dębe,170
Czerna Mała,Iłowa,128
Poprad,Stary Sącz,139
Drama,Pyskowice,137
Noteć,Nowe Drezdenko,87
Radomka,Rogożek,118
Szkło,Charytany,124
Wisła,Smolice,148
Ner,Lutomiersk,67
Netta,Białobrzegi,200
Mała Panew,Turawa,141
Młynówka,Cieszyn,116
Kamienna,Brody Iłżeckie,133
Jez. Roś,Maldanin,91
Pilica,Białobrzegi,136
Młynówka,Branice 2,168
Grabinianka,Głowaczowa,138
Narewka,Białowieża,89
San,Nisko,98
Wisłoka,Krajowice,133
Ina,Goleniów,161
Pielnica,Nowosielce,122
Bug,Małkinia,110
Brynica,Brynica,141
Widawka,Szczerców,136
Odra,Brzeg (most),332
Bóbr,Nowogród Bobrzański,146
Pisa,Dobrylas,86
Odra,Nowa Sól,227
Bóbr,Szprotawa,127
Orz,Czarnowo,113
Liwa,Kwidzyn,152
Pisa (Kanał Giżycki),Giżycko,109
San,Dwernik,79
Raba,Kasinka Mała,120
Łękawka,Łękawica,133
Kwisa,Łozy,143
Dunajec,Czchów,138
Pisa,Ptaki,76
Bóbr,Dobroszów Wielki,300
Wisła,Czernichów - Prom,237
Wisłok,Sieniawa,121
Kłodnica,Lenartowice,138
Kwisa,Nowogrodziec,150
Wisła,Szczucin,175
Kaczawa,Piątnica,182
Wkra,Borkowo,117
Trzebośnica,Sarzyna,119
Niedziczanka,Niedzica,132
San,Leżachów,79
Ina,Stargard,128
Czarny Dunajec,Nowy Targ,152
Osława,Zagórz,100
Liswarta,Niwki,156
Odra,Olza,191
Bystrzyca,Lubachów,144
Bystra,Kamesznica,131
Bogacica,Domaradz,217
Wełna,Kowanówko,123
Czarna Nida,Morawica,131
Kaczawa,Świerzawa,133
Orla,Korzeńsko,165
Narewka,Narewka,120
Hoczewka,Hoczew,94
Bystrzyca,Krasków,126
Supraśl,Nowosiółki,117
Czarna Przemsza,Łagisza,121
Łyna,Smolajny,159
Olza,Istebna,118
Ner,Poddębice,129
Oława,Oława 2,199
Łużyca,Kraszewice,109
Grabia,Grabno,115
Wisła,Drogomyśl,147
Wisłok,Puławy,98
Kamienna,Bzin,126
Liwiec,Łochów,106
Orlanka,Chraboły,117
Poroniec,Poronin,144
Prosna,Mirków,278
Ełk,Ełk,150
Jasiołka,Jasło,98
Stradunia,Kamionka,241
Czarna,Połaniec,101
Ruda,Rybnik Stodoły,154
Widawa,Namysłów,250
Warta,Międzychód,85
Olza,Łaziska,152
Strzegomka,Chwaliszów,158
Biała Głuchołaska,Biała Nyska,142
Prądnik,Ojców,111
Drzewiczka,Odrzywół,253
Pełcznica,Świebodzice,124
Biała,Czechowice-Bestwina,124
Łeba,Lębork,111
Gołdapa,Gołdap 2,104
Drwęca,Brodnica,127
Łyna,Sępopol,95
jez. Drawsko,Czaplinek,79
Czarna,Raków,113
Poprad,Muszyna,113
Mławka,Szreńsk,84
Czarna Nida,Daleszyce,106
Mitręga,Kuźnica Sulikowska,107
Mierzawa,Michałów,84
Bystrzyca Dusznicka,Szalejów Dolny,126
Witka,Ostróżno,121
Wieprzówka,Rudze,106
Nysa Kłodzka,Międzylesie,7
Pór,Zakłodzie,
Czarny Potok,Mirsk 2,148
Ścinawka,Tłumaczów,89
Czarna Nida,Tokarnia,111
Jegrznia,Rajgród,119
Świślin,Rzepin,106
Wisła,Warszawa,162
Wisła,Sandomierz,134
Gostynia,Bojszowy,160
Wisła,Ustroń Obłaziec,123
Biały Dunajec,Szaflary,119
Biała,Mikuszowice,126
Odra,Racibórz Miedonia,220
Wisła,Wisła,109
Ner,Dąbie,190
Bzura,Kwiatkówek,147
Uszwica,Borzęcin,118
Kanał Mosiński,Kościan,81
Bzura,Żuków,116
Kaczawa,Rzymówka,140
Narew,Orzechowo,38
Kaczawa,Dunino,136
Skawa,Sucha Beskidzka 2,124
Strzegomka,Łażany,138
Ruź,Zaruzie,84
Kwisa,Gryfów Śląski,115
Łyna,Olsztyn,129
Raba,Mszana Dolna,106
Słupia,Słupsk,109
Stradomka,Łapanów,
Parsęta,Białogard,84
Odra,Ścinawa,285
Tanew,Harasiuki,85
Bug,Włodawa,83
Biała,Koszyce Wielkie,88
Bystrzyca,Jarnołtów,192
Ropa,Klęczany,75
Bystrzyca,Sobianowice,111
Potok Kościeliski,Kościelisko-Kiry,72
Liswarta,Kule,112
Nieciecz,Widawa,272
Odra,Połęcko,54
Solinka,Terka,75
Żabniczanka,Żabnica,109
Opawa,Branice 1,92
Warta,Lgota Nadwarcie,103
Ślęza,Borów,320
Skawa,Wadowice,107
Nysa Kłodzka,Kłodzko,125
Warta,Burzenin,83
Skawa,Osielec,78
Narew,Ostrołęka,64
Wielopolka,Brzeźnica,83
Kuroch,Odolanów 2,171
Brda,Tuchola,96
Polski Rów,Rydzyna,96
Wierzyca,Bożepole,125
Solinka,Cisna,74
Kamienica,Nowy Sącz,80
Dunajec,Nowy Sącz,83
